id,market_year,category,million_metric_tons
1,1960/61,food/alc/indust,12
64,1960/61,"livestock feed",100
2,1961/62,food/alc/indust,16
65,1961/62,"livestock feed",100
3,1962/63,food/alc/indust,15
66,1962/63,"livestock feed",110
4,1963/64,food/alc/indust,17
67,1963/64,"livestock feed",122
5,1964/65,food/alc/indust,17
68,1964/65,"livestock feed",134
6,1965/66,food/alc/indust,20
69,1965/66,"livestock feed",140
7,1966/67,food/alc/indust,22
70,1966/67,"livestock feed",154
8,1967/68,food/alc/indust,22
71,1967/68,"livestock feed",158
9,1968/69,food/alc/indust,23
72,1968/69,"livestock feed",162
10,1969/70,food/alc/indust,28
73,1969/70,"livestock feed",172
11,1970/71,food/alc/indust,33
74,1970/71,"livestock feed",178
12,1971/72,food/alc/indust,32
75,1971/72,"livestock feed",195
13,1972/73,food/alc/indust,23
76,1972/73,"livestock feed",203
14,1973/74,food/alc/indust,27
77,1973/74,"livestock feed",232
15,1974/75,food/alc/indust,24
78,1974/75,"livestock feed",226
16,1975/76,food/alc/indust,27
79,1975/76,"livestock feed",233
17,1976/77,food/alc/indust,28
80,1976/77,"livestock feed",258
18,1977/78,food/alc/indust,28
81,1977/78,"livestock feed",263
19,1978/79,food/alc/indust,27
82,1978/79,"livestock feed",279
20,1979/80,food/alc/indust,23
83,1979/80,"livestock feed",297
21,1980/81,food/alc/indust,38
84,1980/81,"livestock feed",301
22,1981/82,food/alc/indust,36
85,1981/82,"livestock feed",311
23,1982/83,food/alc/indust,30
86,1982/83,"livestock feed",309
24,1983/84,food/alc/indust,33
87,1983/84,"livestock feed",316
25,1984/85,food/alc/indust,41
88,1984/85,"livestock feed",327
26,1985/86,food/alc/indust,44
89,1985/86,"livestock feed",325
27,1986/87,food/alc/indust,37
90,1986/87,"livestock feed",334
28,1987/88,food/alc/indust,35
91,1987/88,"livestock feed",340
29,1988/89,food/alc/indust,36
92,1988/89,"livestock feed",346
30,1989/90,food/alc/indust,31
93,1989/90,"livestock feed",354
31,1990/91,food/alc/indust,36
94,1990/91,"livestock feed",347
32,1991/92,food/alc/indust,41
95,1991/92,"livestock feed",350
33,1992/93,food/alc/indust,39
96,1992/93,"livestock feed",351
34,1993/94,food/alc/indust,44
97,1993/94,"livestock feed",362
35,1994/95,food/alc/indust,27
98,1994/95,"livestock feed",369
36,1995/96,food/alc/indust,28
99,1995/96,"livestock feed",371
37,1996/97,food/alc/indust,38
100,1996/97,"livestock feed",379
38,1997/98,food/alc/indust,39
101,1997/98,"livestock feed",386
39,1998/99,food/alc/indust,34
102,1998/99,"livestock feed",387
40,1999/00,food/alc/indust,44
103,1999/00,"livestock feed",395
41,2000/01,food/alc/indust,43
104,2000/01,"livestock feed",394
42,2001/02,food/alc/indust,44
105,2001/02,"livestock feed",404
43,2002/03,food/alc/indust,53
106,2002/03,"livestock feed",407
44,2003/04,food/alc/indust,46
107,2003/04,"livestock feed",424
45,2004/05,food/alc/indust,47
108,2004/05,"livestock feed",440
46,2005/06,food/alc/indust,45
109,2005/06,"livestock feed",441
47,2006/07,food/alc/indust,57
110,2006/07,"livestock feed",455
48,2007/08,food/alc/indust,55
111,2007/08,"livestock feed",472
49,2008/09,food/alc/indust,59
112,2008/09,"livestock feed",484
50,2009/10,food/alc/indust,65
113,2009/10,"livestock feed",499
51,2010/11,food/alc/indust,64
114,2010/11,"livestock feed",510
52,2011/12,food/alc/indust,103
115,2011/12,"livestock feed",523
53,2012/13,food/alc/indust,100
116,2012/13,"livestock feed",527
54,2013/14,food/alc/indust,108
117,2013/14,"livestock feed",569
55,2014/15,food/alc/indust,127
118,2014/15,"livestock feed",584
56,2015/16,food/alc/indust,106
119,2015/16,"livestock feed",609
57,2016/17,food/alc/indust,135
120,2016/17,"livestock feed",643
58,2017/18,food/alc/indust,119
121,2017/18,"livestock feed",660
59,2018/19,food/alc/indust,156
122,2018/19,"livestock feed",680
60,2019/20,food/alc/indust,157
123,2019/20,"livestock feed",694
61,2020/21,food/alc/indust,148
124,2020/21,"livestock feed",717
62,2021/22,food/alc/indust,174
125,2021/22,"livestock feed",736
